id,name,average_rating,rank,min_players,max_players,playing_time,min_playtime,max_playtime,publishers,categories
126,The Really Nasty Horse Racing Game,6.27186,5819,2,6,90,90,90,"['Rascals Products Limited', 'University Games', 'Upstarts', 'Winning Moves UK Ltd.']","['Animals', 'Racing', 'Sports']"
127,Princess Ryan's Star Marines,5.40864,24223,1,6,120,120,120,['The Avalon Hill Game Co'],"['Deduction', 'Science Fiction']"
128,Take it Easy!,6.60856,2207,1,8,20,20,20,"['Burley Games', 'F.X. Schmid', ""Spear's Games"", 'Arclight Games', 'Brain Picnic', 'Cappelen', 'Cranio Creations', 'DiceTree Games', 'Eagle-Gryphon Games', 'förlAgo AB', 'IELLO', 'Play Smart', 'Ravensburger', 'Rebel Sp. z o.o.', 'Swan Panasia Co., Ltd.', 'White Goblin Games', 'Zacatrus', 'Zvata Studios']","['Abstract Strategy', 'Puzzle']"
,,,,,,,,,,
130,Iron Dragon,7.0172,2337,2,6,240,240,240,['Mayfair Games'],"['Fantasy', 'Trains', 'Transportation']"
,,,,,,,,,,
132,Caesar & Cleopatra,6.39544,2462,2,2,60,60,60,"['KOSMOS', '999 Games', 'Filosofia Éditions', 'Kaissa Chess & Games', 'Laser plus', 'Rio Grande Games', 'Tilsit']","['Ancient', 'Bluffing', 'Card Game']"
133,Frischfleisch,6.13096,12528,2,6,120,120,120,['2F-Spiele'],"['Exploration', 'Horror']"
134,Cape Horn,5.99287,8454,3,5,60,45,60,"['KOSMOS', 'Rio Grande Games', 'Tilsit']","['Nautical', 'Racing']"
135,Kontor,5.96441,7587,2,4,60,60,60,"['999 Games', 'Goldsieber Spiele', 'Tilsit']","['City Building', 'Nautical', 'Renaissance']"
136,Robin Hood,5.42988,22851,3,6,30,30,30,['AMIGO'],['Card Game']
137,Pass the Bomb,5.82647,7786,2,10,20,20,20,"['Anvol', 'AS Company', 'Asmodee', 'danspil', 'Gibsons', 'Giochi Uniti', 'Goliath Games', 'Grand V', 'Jumbo', 'Kod Kod', 'Peliko Oy', 'Piatnik', 'Pressman Toy Corp.', 'Ravensburger', 'Venice Connection', 'Week End Games', 'Zygomatic']","['Electronic', 'Party Game', 'Real-time', 'Word Game']"
,,,,,,,,,,
139,Hoax,5.9238,13279,3,12,45,45,45,"['Eon', 'Hexagames (I)']","['Bluffing', 'Deduction', 'Fantasy', 'Medieval']"
140,Pit,6.3886,2049,3,8,90,30,90,"['(Self-Published)', 'Arclight Games', 'Clipper', 'Copp Clark Publishing Company', 'Crown & Andrews Ltd.', 'Editorial Dos Pasos', 'Editrice Giochi', 'Fractal Juegos', 'Fundex', 'Grimaud', 'Hasbro', 'Holdson', 'John Waddington Ltd.', 'Kaissa Chess & Games', 'Korea Boardgames', 'Lighthouse Games', 'Nordic Games GmbH', 'Parker Brothers', 'Repos Production', 'Russimco Games', 'Schmidt Spiele', ""Spear's Games"", 'Top Cards', 'Waddingtons', 'Winning Moves Games (USA)', 'Yetem S.A.']","['Card Game', 'Economic', 'Party Game']"
141,Andromeda,6.38408,4058,3,5,60,60,60,"['999 Games', 'ABACUSSPIELE', 'Grünspan-Spiele', 'Rio Grande Games']","['Science Fiction', 'Space Exploration', 'Territory Building']"
142,Vino,6.42571,5160,3,5,90,90,90,"['Goldsieber Spiele', 'Rio Grande Games']",['Economic']
143,Wortelboer,4.17647,Not Ranked,2,4,30,30,30,['Think Games'],"['Animals', 'Card Game']"
144,Elfenwizards,6.199,14888,3,6,90,90,90,['White Wind'],['Negotiation']
145,Metropolis,6.35667,7242,2,5,90,90,90,['Otto Maier Verlag'],"['City Building', 'Negotiation']"
146,Buy Low Sell High,6.12671,6058,2,4,60,60,60,"['Editrice Giochi', 'Group SNE', 'Überplay', 'Wargames Club Publishing']",['Economic']
147,Crude: The Oil Game,6.69305,3399,2,4,90,90,90,"['St. Laurent Games', 'Hexagames (I)', 'Pegasus Spiele', 'Stronghold Games']","['Economic', 'Industry / Manufacturing']"
148,Die Glücksritter,5.7087,19170,3,6,60,60,60,['Schmidt Spiele'],"['Bluffing', 'Medieval']"
,,,,,,,,,,
150,PitchCar,7.26746,488,2,8,30,30,30,"['Ferti', 'Goldsieber Spiele', 'Historien Spiele Galerie (Historien Spielegalerie)', 'Lautapelit.fi', 'Vision']","['Action / Dexterity', ""Children's Game"", 'Party Game', 'Racing', 'Sports']"
151,Piratenbillard,6.56417,6013,2,4,15,15,15,['ABACUSSPIELE'],"['Action / Dexterity', 'Pirates']"
152,Mü & More,7.15362,1684,2,8,60,60,60,"['AMIGO', 'DiceTree Games', 'Doris & Frank', 'Rio Grande Games']","['Card Game', 'Game System']"
153,Take 5!,6.55423,2619,2,6,60,60,60,"['999 Games', 'AMIGO', 'G3']","['Card Game', 'Number']"
154,Union vs. Central,6.81071,10571,2,2,360,360,360,['Winsome Games'],"['American West', 'Card Game', 'Economic', 'Trains', 'Transportation']"
155,Was sticht?,6.98852,3806,3,4,60,60,60,"['Moskito Spiele', 'New Games Order, LLC']","['Card Game', 'Deduction']"
156,Wildlife Adventure,6.81059,4502,2,6,60,60,60,"['Otto Maier Verlag', 'Ravensburger']","['Animals', 'Exploration', 'Transportation']"
157,Eurorails,7.10066,2006,2,6,240,180,240,['Mayfair Games'],"['Economic', 'Trains', 'Transportation']"
158,Elfengold,6.94644,Not Ranked,2,6,120,120,120,"['999 Games', 'AMIGO']","['Expansion for Base-game', 'Fantasy', 'Transportation']"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
162,The Awful Green Things From Outer Space,6.54589,2688,2,2,90,60,90,"['Grow Jogos e Brinquedos', 'Steve Jackson Games', 'Tactical Studies Rules (TSR)']","['Science Fiction', 'Wargame']"
163,Balderdash,6.47197,2116,2,6,60,60,60,"['Canada Games Company Lmt.', '(Unknown)', 'Casper', 'Drumond Park Ltd.', 'The Game Works, Inc.', 'The Games Gang, LTD', 'Hasbro', 'Mattel, Inc.', 'Milton Bradley', 'Parker Brothers', 'Schmidt Spiele', 'Tactic', 'Target Games', 'Vaka-Helgafell', 'Ventura Games', 'Western Publishing Company', 'Weston Group']","['Bluffing', 'Party Game', 'Word Game']"
164,"Before I Kill You, Mister Spy...",5.43986,25644,2,6,30,30,30,['Cheapass Games'],"['Card Game', 'Spies/Secret Agents']"
165,Black Box,6.39668,4773,1,2,20,20,20,"['Alga', 'Capiépa Éditeur: Jeux Éducatifs', 'Clipper', 'franjos Spieleverlag', 'MB Spiele', 'Parker Brothers', 'Waddingtons']","['Abstract Strategy', 'Deduction', 'Puzzle']"
166,Black Death,5.73571,20626,2,6,120,120,120,"['Blacksburg Tactical Research Center', 'Devir', 'Sphinx Spieleverlag']","['Medical', 'Medieval']"
167,Dicke Kartoffeln,6.19817,12321,2,6,120,120,120,['ABACUSSPIELE'],"['Economic', 'Farming']"
168,Empire Builder,6.95888,1671,2,6,180,180,180,['Mayfair Games'],"['Economic', 'Trains', 'Transportation']"
169,En Garde,6.50121,3246,2,2,30,20,30,"['ABACUSSPIELE', 'Eagle-Gryphon Games', 'Ferti', 'New Games Order, LLC']","['Card Game', 'Sports']"
170,Family Business,6.07033,3962,2,6,30,30,30,"['Lookout Games', 'Mayfair Games', 'ADC Blackfire Entertainment', 'Asmodee', 'Cutting Edge Publishing & Design House GmbH', 'Hobby Japan', 'Spielfreaks, Ltd.', 'Stratelibri', 'Truant Spiele', 'Zygomatic']","['Card Game', 'Mafia']"
171,Chess,7.20882,449,2,2,0,0,0,"['(Public Domain)', '(Self-Published)', '(Unknown)', '3M', 'ABRA', 'Adams Brothers & Shardlow Ltd.', 'Air France', 'Alexander', 'Allied Van Lines', 'Ancient Chess', 'Arrco Playing Card Co.', 'Bar-Zim', 'Bayerwald Spiele', 'Bello Games New York, Inc.', ""Berwick's Toy Co. Ltd."", 'Big League Promotions Corp.', 'Bisonte', 'Blatz', 'Bozart Toys', 'BulbHead', 'Cardinal', 'à la carte AG', 'Cayro, The Games', 'CCI India', 'Chad Valley Co Ltd.', 'Challenge Master Game Co Ltd', 'Character Games LTD', 'Chess Armory', 'Chess Geeks', 'ChessUSA', 'CHH Games', 'Chupa Chups', 'Classic Games', 'Coca-Cola', 'Colombine BVBA', 'Comedy Central', 'Comedy Partners', 'Creative Crafthouse', 'Creative Educational Aids Pvt. Ltd.', 'Crisloid', 'Dal Negro', 'Darmon Diffusion', 'David Westnedge', 'De La Rue', 'DeAgostini', 'Deuce', 'DGT', 'Dilemma Games', 'Dourios', 'DreamWorks', 'Dynamic Games / Dynamic Design Industries', 'E. S. Lowe Company Inc.', 'Efko', 'EnumeroCribbageBoards', 'Epoch Playthings', 'Estrela', 'Excalibur Electronics', 'F. W. Woolworth Company', 'Fame Products', 'Fifth Avenue Crystal Ltd.', 'FridgePlay', 'Friendly Games, Inc.', 'Fundex', 'Game Factory', 'Gibsons', 'Golden', 'Guigou', 'H. Baron', 'Handfaste', 'Hartung-Spiele', 'Hasbro', 'Hausemann & Hötte N.V.', 'HAY', 'Hearth & Hand with Magnolia', 'Hexagames (I)', 'Heyne', 'Holdson', 'Homas Spelen', 'House Martin', 'House of Marbles', 'House of Staunton', 'Imaginarium', 'innovative KIDS', 'Inovac Rima SA', 'Intex Syndicate', 'Invicta Games', 'Italocremona', 'John Jaques of London', 'John N. Hansen Co., Inc.', 'Jumbo', 'K & C Ltd', 'K.E. Mathiasen A/S', 'Kärnan', 'King International', 'Kingsway Inc', 'Kitfix Swallow Group', 'Klee', 'Klopffleisch', 'L. P. Septímio', 'Lagoon Games', 'Lardy International', 'LEGO', 'Lindop (William Lindop LTD)', 'Longfield Games', 'Ludens Planet', 'Magnetic Poetry Inc', 'Majora', 'Manchester United Football Club', 'Marigó', 'The Mark of Westminster', 'Masters Games', 'Mattel, Inc.', 'MB Jeux', 'MB Spellen', 'MB Spiele', 'MEGAPLAST', 'Melissa & Doug', 'Meridian Point Products', 'Merit', 'Millenium', 'Milton Bradley', 'Mixlore', 'Monkey Pod Games', 'The Museum of Modern Art (MoMA)', 'Musketeer Chess', 'Neroulia', 'nestorgames', 'Nintendo Co., Ltd.', 'The Noble Collection', 'Noris Spiele', ""O'Gowna Studio"", 'Olin Studio', 'The Op Games', 'Open Board Games', 'Oriental Trading Company', 'Outside Inside', 'Pacific Game Company', 'Parker Brothers', 'Patch Products', 'Paul Lamond Games Ltd', 'Pavilion', 'Peri Spiele', 'Piatnik', 'Pin International', 'Pleasantime Games', 'Poptoy', 'Pressman Toy Corp.', 'The Purple Cow', 'Ramsons', 'Research Games, Inc. / Athol / RGI / ARC', 'Revanche Spelen', 'Robin and Nell Dale', 'Rong Fa', 'Rosiness', 'Rot Ceramic', 'Sababa Toys, Inc.', 'Saitek', 'Schmidt International', 'Schmidt Spiele', 'Selchow & Righter', 'Si-Si-Spiele', 'Skor-Mor', 'Sophisticated Games', 'Søstrene Grene', ""Spear's Games"", 'Spencer Gifts', 'Spin Master Ltd.', 'Sterling Games', 'StirlingFox', 'Studio Anne Carlton (SAC)', 'Sunrise Chess & Games', 'Super Accord', 'Tactic', 'TDC Games, Inc.', 'Tesco', 'Tezuka Productions', 'Thomas Salter Ltd', 'Toy Brokers Ltd', 'U3', 'Vilac', 'Volume-One Products', 'Waddington Sanders Ltd.', 'Waddingtons', 'Walt Disney Productions (Disney)', 'Węgiel', 'Western Publishing Company', 'Westside Fun Games', 'WHSmith', 'Wiley Publishing, Inc.', 'Winning Moves Games (USA)', 'Wizards of the Coast', 'WizKids (I)', 'Wm F. Drueke & Sons, Inc.', 'Wood Expressions', 'WorldWise Imports, LLC', 'Οδύσσεια']",['Abstract Strategy']
172,For Sale,7.25539,334,3,6,30,30,30,"['Eagle-Gryphon Games', 'IELLO', 'Ravensburger', '2 Pionki', 'Albi', 'AURUM, Inc.', 'Baborka Games', 'Brain Games', 'Compaya.hu: Gamer Café Kft.', 'Competo / Marektoy', 'F.X. Schmid', 'Gabinete Lúdico', 'Geekach Games', 'HaKubia', 'Heidelberger Spieleverlag', 'Jolly Thinkers', 'Kaissa Chess & Games', 'MEBO Games', 'Meeple Virus', 'NeoTroy Games', 'New Games Order, LLC', 'PaperGames (III)', 'Portal Games', 'Primigenio', 'Siam Board Games', 'SPIEL DAS! Verlag', 'TLAMA games', 'Top Toys', 'Überplay', 'uplay.it edizioni', 'Wargames Club Publishing', 'Zito! Ώρα για παιχνίδι', 'Взрослые дети', 'Нескучные игры', 'פרש משחקים: Game Knight']","['Card Game', 'Economic']"
173,Formula Dé,6.99297,964,2,10,120,120,120,"['Eurogames', '999 Games', 'Asmodee', 'Descartes Editeur', 'Fantasy Shop', 'Top Licence Games']","['Racing', 'Sports']"
174,T-Rex,5.49007,22521,3,5,45,45,45,"['Hans im Glück', 'Rio Grande Games']",['Card Game']
175,What the Heck?,6.47251,2786,2,5,20,20,20,"['999 Games', 'AMIGO', 'Asmodee', 'Corfix', 'Dal Negro', 'F.X. Schmid', 'Fractal Juegos', 'Gigamic', 'Korea Boardgames', 'Mercurio', 'Möbius Games', 'Morapiaf', 'Oliphante', 'Otto Maier Verlag', 'Ravensburger', 'Swan Panasia Co., Ltd.', 'Waddingtons', 'Winning Moves Games (USA)']","['Animals', 'Bluffing', 'Card Game']"
176,Give Me the Brain!,5.83007,7102,3,8,15,15,15,"['Cheapass Games', 'James Ernest Games', 'Steve Jackson Games', 'Truant Spiele']","['Card Game', 'Zombies']"
177,Advanced Civilization,8.01324,Not Ranked,2,8,480,360,480,['The Avalon Hill Game Co'],"['Ancient', 'Civilization', 'Economic', 'Expansion for Base-game', 'Negotiation']"
178,Mole Hill,5.98073,12537,2,2,15,15,15,"['Användbart Litet Företag', 'Blatz', 'nestorgames']",['Abstract Strategy']
179,Nuba,6.17016,17466,2,2,10,10,10,"['AMIGO', 'Games & Puzzles Publications']",['Abstract Strategy']
180,Pool Position,5.75468,18251,2,5,30,30,30,['F.X. Schmid'],"['Abstract Strategy', 'Card Game']"
181,Risk,5.59589,25702,2,6,120,120,120,"['Parker Brothers', '(Unknown)', 'Alga', 'Avalon Hill', 'Barnes & Noble', 'Borras Plana S.A.', 'Carlit', 'Clipper', 'Editrice Giochi', 'El Greco', 'Grow Jogos e Brinquedos', 'Guau', 'Hasbro', 'Juegos Crone', 'Majora', 'Manhattan Agencies', 'MEGAPLAST', 'Miro Company', 'Nilco S.A.', 'Palitoy Ltd.', 'PanGraf', 'Schmidt Spiele', 'Smeets & Schippers', 'Tomy', 'Waddingtons', 'Winning Moves Games (USA)']","['Territory Building', 'Wargame']"
182,Hungry,6.3693,5331,2,4,30,30,30,"['Kanga Games', 'Nasza Księgarnia', 'Playroom Entertainment', 'Spiel Spass', 'W. Nostheide Verlag GmbH']","['Card Game', 'Medieval']"
183,Stonehenge,6.27793,12070,2,2,15,15,15,"['Blatz', 'Pin International']",['Abstract Strategy']
,,,,,,,,,,
185,Devil Bunny Needs a Ham,5.4035,25711,2,5,30,30,30,"['Cheapass Games', 'Greater Than Games, LLC']","['Abstract Strategy', 'Dice', 'Print & Play']"
186,Split,5.90476,14148,2,6,30,30,30,"['GDC-GameDevCo Ltd.', 'Hasbro', 'Parker Brothers']",['Card Game']
,,,,,,,,,,
188,Go,7.65189,214,2,2,180,30,180,"['(Public Domain)', '(Unknown)', '3M', 'Alga', 'Ariel Productions Ltd', 'The Avalon Hill Game Co', 'Barnes & Noble', 'Borras Plana S.A.', 'Brybelly', 'Carl Weible KG', 'Carlton Books', 'Cathay', 'Cayro, The Games', 'CHH Games', 'Copp Clark Publishing Company', 'Creative Crafthouse', 'Crisloid', 'Dal Negro', 'Dilemma Games', 'Dujardin', 'Dynamic Games / Dynamic Design Industries', 'E. S. Lowe Company Inc.', 'Fame Products', 'Fratelli Fabbri Editori  (Fabbri Editore)', 'The Game Crafter, LLC', 'The Game Keeper, Inc.', 'Gamma Two Games', 'Gammon Games', 'General Sportcraft Company', 'Gentosha Education', 'Geoludie', 'Ha Ha Sisters LLC', 'Hartung-Spiele', 'Hausser', 'Hebsacker Verlag', 'HEMA', 'Hobby', 'Ishi Press International', 'J.P. Raymond Rivarola', 'Japan Publications, Inc.', 'John N. Hansen Co., Inc.', 'John Sands Pty Ltd', 'Jumbo', 'Korea Boardgames', 'L. P. Septímio', ""L'Impensé Radical"", 'Longfield Games', 'Ludens Spirit', 'Michael Stanfield', 'Milton Bradley', 'Mitra', 'Mitsubishi Fuso', 'Monkey Pod Games', 'nestorgames', 'Otto Maier Verlag', 'Pacific Game Company', 'Philos', 'Play All Day Games', 'Ponnuki', 'Reiss Games', 'Sato Kei Shoten Co., Ltd.', 'Schmidt International', 'Schmidt Spiele', 'Shin Kwang Baduk', 'Skor-Mor', ""Spear's Games"", 'Das Spiel', 'Spielquader', 'U3', 'Volume-One Products', 'Waddingtons', 'Wm F. Drueke & Sons, Inc.', 'Wood Expressions', 'Woodstock Spiele', 'WorldWise Imports, LLC', 'Yellow Mountain Imports', 'ZTS Plastyk']",['Abstract Strategy']
189,Die Siedler von Nürnberg,6.90986,3342,3,4,90,90,90,['KOSMOS'],"['Medieval', 'Negotiation']"
190,Dolce Vita,6.13731,11512,3,5,30,30,30,['Hans im Glück'],['Card Game']
,,,,,,,,,,
192,Nicht die Bohne!,6.32459,4558,3,6,45,45,45,"['AMIGO', 'Korea Boardgames', 'Lifestyle Boardgames Ltd', 'Nasza Księgarnia', 'Oya']",['Card Game']
193,Fill or Bust,5.78173,11248,2,10,30,30,30,"['ABACUSSPIELE', 'Bowman Games', 'Game Factory', 'GP Games', 'HOT Games', 'PS-Games']",['Dice']
194,Groo: The Game,6.28574,5628,2,4,45,45,45,['Archangel Studios'],"['Card Game', 'City Building', 'Comic Book / Strip', 'Fantasy']"
195,NASCAR Champions,5.49398,22888,2,5,30,30,30,['Milton Bradley'],"['Dice', 'Racing', 'Sports']"
196,Kremlin,6.96584,1614,3,6,75,75,75,"['The Avalon Hill Game Co', 'Fata Morgana Spiele', 'New Games Order, LLC']","['Negotiation', 'Political']"
197,HellRail: Second Perdition,6.04262,16505,3,4,75,75,75,"['Giochi Rari', 'Glastyn Games']","['Card Game', 'Trains', 'Transportation']"
198,Buried Treasure,6.02707,11525,2,4,30,30,30,['F.X. Schmid'],"['Card Game', 'Pirates']"
199,Manhattan,6.73098,1466,2,4,45,45,45,"['Hans im Glück', 'Mandoo Games', '999 Games', 'Act in games', 'Arclight Games', 'Broadway Toys LTD', 'Fabrika Igr', 'FoxGames', 'FoxMind', 'Korea Boardgames', 'Last Level', 'Litas Spil', 'Ludodélire', 'Mayfair Games', 'Mercurio', 'Nelospelit', 'Olsen', 'Rio Grande Games', 'Tactic']",['City Building']
200,Entdecker,6.42077,3730,2,4,60,60,60,"['999 Games', 'Goldsieber Spiele', 'Mayfair Games']",['Exploration']
201,The Rose King,6.81258,1608,2,2,30,30,30,"['db-Spiele', 'KOSMOS', '999 Games', ""OPEN'N PLAY"", 'Playte', 'リゴレ (rigoler)', 'Tilsit', 'White Goblin Games']","['Abstract Strategy', 'Medieval']"
202,Targui,6.40912,5263,2,4,120,120,120,['Jumbo'],"['Arabian', 'Wargame']"
203,Skworms,4,Not Ranked,2,4,30,30,30,['Parker Brothers'],"['Action / Dexterity', ""Children's Game"", 'Horror']"
204,Stephenson's Rocket,6.92594,1555,2,4,60,60,60,"['999 Games', 'Grail Games', 'Group SNE', 'Pegasus Spiele', 'Rio Grande Games']","['Trains', 'Transportation']"
,,,,,,,,,,
206,Jalape-NO!,6.15257,10618,3,9,45,45,45,"['F.X. Schmid', 'Playte', 'テンデイズゲームズ(TendaysGames)', '25th Century Games']",['Card Game']
207,Twitch,6.09781,12176,3,6,15,15,15,"['AMIGO', 'Wizards of the Coast']","['Action / Dexterity', 'Card Game']"
208,Ex & Hopp,5.46667,22277,2,6,30,30,30,"['F.X. Schmid', 'Ravensburger']",['Card Game']
,,,,,,,,,,
210,Don Pepe,6.27654,6912,3,6,30,30,30,"['Game Office', 'Hasbro', 'Parker Brothers', 'ToyCo']","['Card Game', 'Economic', 'Mafia']"
211,Times to Remember,6.30365,9642,2,10,45,45,45,"['Blackrock Games', 'Cocktail Games', 'Hasbro', 'MB Jeux', 'MB Spiele', 'Milton Bradley']","['Party Game', 'Trivia']"
,,,,,,,,,,
,,,,,,,,,,
214,Café International,6.21264,3553,2,4,60,45,60,"['AMIGO', 'Kaissa Chess & Games', 'Leo Toys', 'Mattel, Inc.', 'Relaxx', 'Rio Grande Games', 'Swan Panasia Co., Ltd.']",['Abstract Strategy']
215,Tichu,7.57889,225,4,4,60,60,60,"['Fata Morgana Spiele', '999 Games', 'ABACUSSPIELE', 'Filosofia Éditions', 'G3', 'GP Games', 'Hobby World', 'HomoLudicus', 'Korea Boardgames', 'Maldito Games', 'Playhouse Ltd', 'Rio Grande Games', 'Swan Panasia Co., Ltd.', 'TIKI Editions', 'uplay.it edizioni', 'Vennerød Forlag AS']",['Card Game']
216,Atlanteon,5.80452,10229,2,2,30,30,30,"['ABACUSSPIELE', 'Esdevium', 'Fantasy Flight Games', 'Heidelberger Spieleverlag']","['Abstract Strategy', 'Napoleonic']"
217,A la carte,6.46499,2530,2,4,30,30,30,"['Heidelberger Spieleverlag', 'Moskito Spiele', 'Competo / Marektoy', 'Fantasy Flight Games', 'Giochi Uniti', 'HeidelBÄR Games', 'IELLO', 'Intrafin Games', 'Stratelibri', 'Swan Panasia Co., Ltd.', 'UBO CnC']",['Action / Dexterity']
218,High-Bid,5.88945,12733,2,4,25,25,25,"['3M', 'The Avalon Hill Game Co', 'Casper']",['Negotiation']
219,Volle Hütte,6.11243,12339,3,5,30,30,30,['ASS Altenburger Spielkarten'],['Economic']
220,High Society,7.16369,546,3,5,30,15,30,"['Ravensburger', 'Across the Board', 'AMIGO', 'Eagle-Gryphon Games', 'FoxGames', 'GaGa Games', 'Gemblo Company', 'Kanga Games', 'Meeple King', 'Muduko', 'New Games Order, LLC', 'Nova Era (Нова Ера)', ""OPEN'N PLAY"", 'Origames', 'Osprey Games', 'Popcorn Games', 'SD Games', 'Studio Supernova', 'Swan Panasia Co., Ltd.', 'Überplay', 'University Games', 'Wargames Club Publishing']",['Card Game']
221,Ikusa,7.02786,1185,2,5,360,240,360,"['Milton Bradley', 'Avalon Hill', 'Wizards of the Coast']","['Civil War', 'Medieval', 'Territory Building', 'Wargame']"
222,Space Beans,6.08027,5068,2,6,40,40,40,"['AMIGO', 'Mercurio', 'Midgaard Games', 'Rio Grande Games']","['Card Game', 'Science Fiction']"
223,Expeditions: Around the World,6.71038,2859,2,6,45,30,45,"['AMIGO', 'Queen Games', 'Ravensburger', 'Super Meeple', 'Arrakis Games', 'Kobold Spieleverlag']","['Adventure', 'Educational', 'Exploration', 'Transportation', 'Travel']"
224,History of the World,7.11665,1083,3,6,270,135,270,"['Avalon Hill', 'Ragnar Brothers', 'The Avalon Hill Game Co', 'Compendium Games', 'Gibsons', 'Welt der Spiele', 'Z-Man Games']","['Civilization', 'Ancient', 'Medieval', 'Napoleonic', 'Post-Napoleonic', 'Renaissance', 'Wargame', 'World War I']"
225,Icehouse,6.62364,5201,3,5,20,20,20,"['Crystal Caste', 'IcehouseGames', 'Looney Labs']","['Abstract Strategy', 'Real-time']"
226,Isi,6.59659,16585,2,2,30,30,30,['Cwali'],['Abstract Strategy']
227,Knightmare Chess,6.44432,Not Ranked,2,2,60,60,60,"['Bamboo Donkey', 'Heidelberger Spieleverlag', 'Hobby World', 'Ludodélire', 'Steve Jackson Games', 'Variantes']","['Abstract Strategy', 'Card Game', 'Expansion for Base-game']"
228,Lunch Money,5.62742,17993,2,4,20,20,20,"['Atlas Games', 'NekoCorp']","['Card Game', 'Fighting']"
229,King of the Elves,6.19954,4750,2,6,60,60,60,"['AMIGO', '999 Games', 'Rio Grande Games']","['Card Game', 'Fantasy', 'Travel']"
230,Merchant of Venus,7.14029,1412,1,6,180,180,180,['The Avalon Hill Game Co'],"['Economic', 'Exploration', 'Science Fiction', 'Space Exploration', 'Transportation']"
231,Geronimo,5.74744,19443,1,5,480,480,480,['The Avalon Hill Game Co'],"['American Indian Wars', 'American West', 'Wargame']"
232,Serenissima,6.85666,2092,2,4,120,120,120,"['Descartes Editeur', 'Eurogames', '999 Games']","['Economic', 'Nautical', 'Renaissance']"
,,,,,,,,,,
234,Hannibal: Rome vs. Carthage,7.78068,397,2,2,200,40,200,"['The Avalon Hill Game Co', 'Valley Games, Inc.', 'Descartes Editeur', 'PHALANX', 'Smart Ltd']","['Ancient', 'Political', 'Wargame']"
235,Blackbeard,6.37778,3996,1,4,240,120,240,"['The Avalon Hill Game Co', 'Descartes Editeur']","['Adventure', 'Age of Reason', 'Nautical', 'Pirates', 'Wargame']"
,,,,,,,,,,
237,Wooden Ships & Iron Men,7.07068,1847,2,2,300,60,300,"['The Avalon Hill Game Co', 'Battleline']","['Age of Reason', 'American Indian Wars', 'American Revolutionary War', 'Napoleonic', 'Nautical', 'Pirates', 'Post-Napoleonic', 'Wargame']"
,,,,,,,,,,
239,"Wagram: The Peace of Vienna, 5-6 July 1809",6.77162,10969,1,2,90,90,90,"['Hobby Japan', 'Kokusai-Tsushin Co., Ltd. (国際通信社)', 'SPI (Simulations Publications, Inc.)']","['Napoleonic', 'Wargame']"
240,Britannia,7.18824,1038,3,5,300,180,300,"['The Avalon Hill Game Co', 'Fantasy Flight Games', 'Gibsons', 'Delta Vision Publishing', 'Devir', 'Edge Entertainment', 'Esdevium', 'Heidelberger Spieleverlag', 'Welt der Spiele']","['Ancient', 'Civilization', 'Medieval', 'Wargame']"
241,Age of Exploration,6.01615,13131,1,6,180,180,180,"['Prism Games', 'TimJim Games']","['Exploration', 'Renaissance', 'Wargame']"
242,Junta,6.69403,1632,2,7,240,240,240,"['Alderac Entertainment Group', 'ASS Altenburger Spielkarten', 'Borras Plana S.A.', 'Creative Wargames Workshop', 'Descartes Editeur', 'Ediciones MasQueOca', 'Hobby Japan', 'Matagot', 'Pegasus Spiele', 'Purgatory Publishing, Inc.', 'Schmidt Spiele', 'ToyCo', 'West End Games']","['Economic', 'Humor', 'Negotiation', 'Political']"
243,Advanced Squad Leader,8.01377,480,2,2,480,120,480,"['The Avalon Hill Game Co', 'Hobby Japan', 'Multi-Man Publishing']","['Wargame', 'World War II']"
244,Circus Maximus,6.77899,2709,2,10,120,120,120,"['The Avalon Hill Game Co', 'Battleline']","['Ancient', 'Fighting', 'Racing']"
,,,,,,,,,,
246,Politika,5.15143,23741,3,7,0,0,0,['Mox Srl'],"['Card Game', 'Political']"
247,Gloria Picktoria,6.35728,4458,2,5,45,45,45,"['999 Games', 'F.X. Schmid', 'Gigamic', 'Rio Grande Games', 'U.S. Games Systems, Inc.', 'Zoch Verlag']",['Card Game']
248,Blood Royale,6.55028,5203,3,5,240,240,240,['Games Workshop Ltd.'],"['Medieval', 'Negotiation', 'Political', 'Territory Building']"
249,Lifeboats,6.57733,2117,3,6,90,90,90,"['Argentum Verlag', ""Walter Müller's Spielewerkstatt"", 'Z-Man Games']","['Nautical', 'Negotiation', 'Party Game']"
250,Colonial Diplomacy,6.63514,6329,2,7,360,360,360,['The Avalon Hill Game Co'],"['Bluffing', 'Negotiation', 'Political', 'Post-Napoleonic', 'Territory Building', 'Wargame']"
,,,,,,,,,,
252,The Battle of Borodino: Napoleon in Russia 1812,6.73828,9522,2,2,180,180,180,"['SPI (Simulations Publications, Inc.)']","['Napoleonic', 'Wargame']"
,,,,,,,,,,
254,Empires in Arms,7.61112,1886,2,7,12000,120,12000,"['Australian Design Group', 'The Avalon Hill Game Co']","['Economic', 'Napoleonic', 'Negotiation', 'Political', 'Wargame']"
