id,name,average_rating,rank,min_players,max_players,playing_time,min_playtime,max_playtime,publishers,categories
16,MarraCash,6.93148,2849,3,4,60,60,60,['KOSMOS'],['Economic']
17,Button Men,6.35677,5276,2,2,5,5,5,"['Cheapass Games', '(Unknown)', 'Atlas Games', 'Five Rings Publishing Group', 'Guardians of Order', 'Looney Labs', 'Slag-Bla entertainment (now XXXenophile Books)', 'Studio Foglio', 'Truant Spiele']","['Collectible Components', 'Dice', 'Fighting', 'Print & Play']"
18,RoboRally,7.05555,590,2,8,120,45,120,"['Wizards of the Coast', '999 Games', 'ADC Blackfire Entertainment', 'AMIGO', 'Avalon Hill', 'Hasbro', 'Play Factory']","['Maze', 'Miniatures', 'Racing', 'Science Fiction']"
19,Wacky Wacky West,6.27545,3838,2,4,45,30,45,"['Hans im Glück', 'Mayfair Games']","['American West', 'Bluffing', 'City Building']"
20,Full Metal Planète,7.51115,2877,2,4,90,90,90,['Ludodélire'],"['Miniatures', 'Science Fiction']"
21,Gateway to the Stars,5.60606,21871,1,7,0,0,0,['Twentieth Century Renaissance'],"['Civilization', 'Exploration', 'Science Fiction', 'Wargame']"
22,Magic Realm,7.29677,1613,1,16,240,60,240,"['The Avalon Hill Game Co', 'Hobby Japan']","['Adventure', 'Exploration', 'Fantasy', 'Fighting']"
23,Divine Right,7.16981,4387,2,6,360,360,360,"['Tactical Studies Rules (TSR)', 'Pungo Games', 'Right Stuf', 'Worthington Games']","['Fantasy', 'Political', 'Wargame']"
24,Twilight Imperium,6.62639,4923,2,6,240,240,240,['Fantasy Flight Games'],"['Civilization', 'Negotiation', 'Political', 'Science Fiction', 'Space Exploration', 'Wargame']"
25,Battlemist,5.89803,12351,2,6,200,200,200,['Fantasy Flight Games'],"['Exploration', 'Fantasy', 'Wargame']"
26,Age of Renaissance,7.09528,1769,3,6,300,120,300,"['The Avalon Hill Game Co', 'Descartes Editeur']","['Civilization', 'Economic', 'Medieval', 'Renaissance']"
27,Supremacy: The Game of the Superpowers,5.67638,17021,2,6,300,120,300,"['Supremacy Games', 'Descartes Editeur', 'Grow Jogos e Brinquedos']","['Economic', 'Modern Warfare', 'Political', 'Wargame']"
28,Illuminati,6.47047,2363,2,6,180,60,180,"['Steve Jackson Games', 'Descartes Editeur', 'Devir', 'Edge Entertainment', 'Finnish Game House', 'Laurin Verlag', 'Pegasus Spiele', 'Queen Games', 'Raven Distribution', 'Ubik']","['Card Game', 'Humor', 'Negotiation', 'Political', 'Science Fiction']"
