id,name,average_rating,Geek_rating,rank,num_voters,type,category,playing_time
237182,Root,8.07487,7.88567,31,51316,wargames,Animals,90
164928,Orléans,8.06158,7.87409,32,31378,strategygames,Medieval,90
192135,Too Many Bones,8.34361,7.86246,33,13318,thematic,Adventure,120
96848,Mage Knight Board Game,8.08483,7.85398,34,33311,thematic,Adventure,240
199792,Everdell,8.02623,7.84716,35,54659,strategygames,Animals,80
251247,Barrage,8.16341,7.84701,36,17698,strategygames,Economic,120
324856,The Crew: Mission Deep Sea,8.15302,7.84631,37,17524,familygames,Adventure,20
183394,Viticulture Essential Edition,7.98849,7.83842,38,48703,strategygames,Economic,90
175914,Food Chain Magnate,8.06122,7.80154,39,20435,strategygames,Economic,240
366013,Heat: Pedal to the Metal,8.07507,7.79984,40,22762,familygames,Racing,60
285774,Marvel Champions: The Card Game,8.12284,7.79878,41,23607,cgs,Card Game,90
256960,Pax Pamir: Second Edition,8.19228,7.79419,42,14060,strategygames,Economic,120
247763,Underwater Cities,8.06339,7.78663,43,19605,strategygames,Card Game,150
3076,Puerto Rico,7.91833,7.77824,44,70956,strategygames,City Building,150
295947,Cascadia,7.95371,7.77269,45,38603,abstracts,Animals,45
521,Crokinole,8.03664,7.76602,46,18011,familygames,Action / Dexterity,30
102794,Caverna: The Cave Farmers,7.94642,7.76385,47,34808,strategygames,Animals,210
284378,Kanban EV,8.42402,7.76325,48,7648,strategygames,Economic,180
185343,Anachrony,8.07586,7.75746,49,18631,strategygames,Economic,120
170216,Blood Rage,7.92881,7.75667,50,47128,strategygames,Fantasy,90
184267,On Mars,8.191,7.75161,51,12587,strategygames,City Building,150
314040,Pandemic Legacy: Season 0,8.39909,7.75069,52,7647,thematic,Spies/Secret Agents,60
31260,Agricola,7.87526,7.7484,53,72762,strategygames,Animals,150
255984,Sleeping Gods,8.21478,7.74428,54,11996,thematic,Adventure,1200
221107,Pandemic Legacy: Season 2,8.03185,7.72156,55,16888,thematic,Environmental,60
161533,Lisboa,8.18874,7.71936,56,11104,strategygames,City Building,120
205059,Mansions of Madness: Second Edition,7.94791,7.7151,57,36379,thematic,Adventure,180
253344,Cthulhu: Death May Die,8.1819,7.70836,58,12437,thematic,Fantasy,120
126163,Tzolk'in: The Mayan Calendar,7.85949,7.70234,59,39323,strategygames,Ancient,90
276025,Maracaibo,8.02114,7.70113,60,16296,strategygames,Economic,120
2651,Power Grid,7.81144,7.7005,61,65449,strategygames,Economic,120
231733,Obsession,8.14838,7.6999,62,12380,thematic,Post-Napoleonic,90
182874,Grand Austria Hotel,7.94582,7.69026,63,20948,strategygames,Economic,120
216132,Clans of Caledonia,7.94421,7.68282,64,20415,strategygames,Economic,120
244521,The Quacks of Quedlinburg,7.82306,7.6823,65,49667,familygames,Medieval,45
35677,Le Havre,7.84988,7.68109,66,31693,strategygames,City Building,150
266810,Paladins of the West Kingdom,7.98429,7.68019,67,17797,strategygames,Medieval,120
125153,The Gallerist,8.02315,7.67523,68,14610,strategygames,Economic,150
164153,Star Wars: Imperial Assault,7.96568,7.67412,69,24630,thematic,Adventure,120
251661,Oathsworn: Into the Deepwood,8.98487,7.66741,70,4704,thematic,Adventure,90
284083,The Crew: The Quest for Planet Nine,7.804,7.6619,72,41605,familygames,Card Game,20
209010,Mechs vs. Minions,7.97162,7.66192,71,17448,thematic,Fantasy,120
124742,Android: Netrunner,7.88243,7.65919,73,30125,cgs,Bluffing,45
55690,Kingdom Death: Monster,8.49747,7.65501,74,9644,thematic,Adventure,180
321608,Hegemony: Lead Your Class to Victory,8.48763,7.64895,75,6327,strategygames,Economic,180
200680,Agricola (Revised Edition),7.95974,7.64146,76,17854,strategygames,Animals,120
230802,Azul,7.74823,7.63785,77,90432,abstracts,Abstract Strategy,45
28143,Race for the Galaxy,7.74499,7.63137,78,55504,strategygames,Card Game,60
157354,Five Tribes: The Djinns of Naqala,7.77487,7.62356,79,41477,strategygames,Arabian,80
72125,Eclipse: New Dawn for the Galaxy,7.83141,7.6176,80,28389,strategygames,Civilization,180
201808,Clank!: A Deck-Building Adventure,7.77825,7.61602,81,42289,strategygames,Adventure,60
191189,Aeon's End,7.9026,7.61489,82,20669,strategygames,Card Game,60
159675,Fields of Arle,8.03123,7.60428,83,11018,strategygames,Economic,120
317985,Beyond the Sun,7.92817,7.59932,84,14518,strategygames,Civilization,120
229853,Teotihuacan: City of Gods,7.8658,7.59834,85,19925,strategygames,Ancient,120
25613,Through the Ages: A Story of Civilization,7.84359,7.59352,86,19373,strategygames,Civilization,120
110327,Lords of Waterdeep,7.73442,7.5929,87,55588,strategygames,City Building,120
62219,Dominant Species,7.81718,7.5811,88,21245,strategygames,Animals,240
93,El Grande,7.75527,7.57672,89,28957,strategygames,Medieval,120
171623,The Voyages of Marco Polo,7.78471,7.57577,90,24880,strategygames,Dice,100
68448,7 Wonders,7.68303,7.57363,91,104665,strategygames,Ancient,30
121921,Robinson Crusoe: Adventures on the Cursed Island,7.74426,7.57309,92,43434,thematic,Adventure,120
279537,The Search for Planet X,7.95484,7.56745,93,12241,strategygames,Deduction,75
264220,Tainted Grail: The Fall of Avalon,8.09209,7.54928,94,12438,thematic,Adventure,120
256916,Concordia Venus,8.292,7.54781,95,5859,strategygames,Ancient,120
225694,Decrypto,7.76845,7.54131,96,22592,partygames,Deduction,45
155821,Inis,7.82781,7.54062,97,20198,strategygames,Card Game,90
37111,Battlestar Galactica: The Board Game,7.73041,7.53963,98,36522,thematic,Bluffing,180
236457,Architects of the West Kingdom,7.73333,7.53837,99,29113,strategygames,City Building,80
163068,Trickerion: Legends of Illusion,7.97326,7.53499,100,10933,strategygames,Post-Napoleonic,180
397598,Dune: Imperium – Uprising,8.7334,7.52971,101,4139,strategygames,Movies / TV / Radio theme,120
310873,Carnegie,8.02808,7.52546,102,9146,strategygames,Economic,120
122515,Keyflower,7.72526,7.52505,103,23148,strategygames,City Building,120
170042,Raiders of the North Sea,7.73901,7.52322,104,24127,strategygames,Medieval,80
42,Tigris & Euphrates,7.70477,7.51911,107,28720,strategygames,Abstract Strategy,120
332772,Revive,8.16134,7.51916,106,7126,strategygames,Civilization,120
383179,Age of Innovation,8.72565,7.52073,105,3794,strategygames,Civilization,200
18602,Caylus,7.71633,7.51737,108,29169,strategygames,City Building,150
40834,Dominion: Intrigue,7.68996,7.51635,109,33688,strategygames,Card Game,30
203993,Lorenzo il Magnifico,7.85093,7.51563,110,13860,strategygames,Renaissance,120
73439,Troyes,7.71563,7.51242,112,23546,strategygames,Dice,90
291453,SCOUT,7.81365,7.51127,114,15210,familygames,Card Game,15
146021,Eldritch Horror,7.75294,7.51165,113,36504,thematic,Adventure,240
373106,Sky Team,8.1992,7.5141,111,6951,thematic,Aviation / Flight,15
172386,Mombasa,7.85212,7.51004,115,13274,strategygames,Economic,150
271055,Dwellings of Eldervale,8.17474,7.50931,116,7188,strategygames,Fantasy,150
366161,Wingspan Asia,8.31581,7.5092,117,5847,strategygames,Animals,70
269385,The Lord of the Rings: Journeys in Middle-Earth,7.91762,7.50853,118,16350,thematic,Adventure,120
180263,The 7th Continent,7.8107,7.50732,119,22271,thematic,Adventure,1000
12493,Twilight Imperium: Third Edition,7.79314,7.49685,120,19282,thematic,Civilization,240
365717,Clank!: Catacombs,8.28145,7.49406,121,5798,strategygames,Adventure,90
217372,The Quest for El Dorado,7.68422,7.49113,122,25683,familygames,Adventure,60
