id,username,yearregistered,lastlogin,country,geekfriends,geekfriends_total,guilds,guild_total
542604,Lighthammel,2012,2024-06-18,Germany,"['Argo0373', 'BNgK', 'HedgeWizzard', 'lampi', 'maeddes', 'Muerker']",6,['3363'],1
282681,wonderwitch,2009,2024-06-16,Ireland,"['3dragonfly', 'bkmckenzie', 'CaptainFwiffo', 'cbrua', 'darker', 'HanClinto', 'Ironmatt', 'JasonMatthews', 'Jeremiah_Lee', 'kaysewill', 'pescime', 'Protocolus', 'richardolen2', 'tanzania', 'tasajara', 'Varduk', 'wjohnston']",17,"['193', '1235']",2
154283,KleinePino,2007,2024-06-19,Belgium,[],0,['3294'],1
2568132,sarge_rojas,2020,2024-06-23,Mexico,['elwayfan2k'],1,"['3236', '3590', '3948', '3975']",4
1398747,ArchGeko,2016,2024-06-20,Italy,['tommaneo'],1,['1011'],1
195344,supersiamesisk,2008,2024-06-16,Sweden,"['airjudden', 'Auglim', 'BlackRainbow', 'briscoe999', 'calandale', 'ConraDargo', 'corkysru', 'Druni', 'eekamouse', 'Endurion', 'Escap3', 'frenchie1337', 'gentlegiantglass', 'Granlid', 'Gusmil', 'Gyges', 'JohnBandettini', 'Lawrence Hung', 'Lgb-JohnDoe', 'Maik', 'mantooth012', 'marnaudo', 'Mattias', 'miah999', 'Minnels', 'molitor4', 'newrev', 'NinjaFerret', 'no_can_do', 'Okie Pirate', 'pastorn', 'PrivateMeggido', 'Protoman', 'Quinns', 'rahdo', 'RevGiark', 'Ryanmobile', 'SamHealey', 'ScottE', 'selwyth', 'sgosaric', 'SiddGames', 'slaqr', 'snicholson', 'squash', 'SUGS', 'Svarthand', 'tallboy', 'tishdar', 'TomVasel', 'tssfulk', 'Tuttle757', 'UndeadViking', 'UniversalHead', 'UvulaBob', 'volnon', 'Yokiboy', 'Yugblad', 'ZeeGarcia', 'Zombiegod']",60,"['1191', '1711']",2
2217070,FilipePalhares,2019,2024-04-29,Portugal,[],0,"['2979', '3203']",2
129315,tdelme,2007,2024-06-21,Belgium,"['de spellenhut', 'Delphi', 'GermanMeepleGames', 'Joverowa', 'lilibeth', 'Maeve_1981', 'nicovdz', 'quinimod', 'Saigetsu', 'sharon_bouckhuyt', 'smoox', 'stoffelke2006', 'Sturmo', 'Sweety_liesje', 'wolverine1977']",15,"['83', '232', '309']",3
364010,jejo,2010,2024-06-24,Hungary,"['aquir', 'bogalaci', 'Gibbon27', 'lacxox', 'matelencse', 'Ordasmania', 'saabee', 'Sailsa', 'Simulacrum', 'Subaru77', 'szunyi', 'terenyiszabovera', 'trolli']",13,"['195', '950', '3366']",3
2371439,polyanna,2019,2024-06-08,Hungary,[],0,"['2258', '3841']",2
232696,Flap,2008,2024-03-30,Russia,"['bretteur', 'Imploded Family', 'kopcap_76', 'LanaDove']",4,['584'],1
