id,username,yearregistered,lastlogin,country,geekfriends,geekfriends_total,guilds,guild_total
3776319,Locusta1977,2024,2024-06-07,United States,[],0,[],0
475158,Momotaros,2012,2024-04-18,United States,['Iskreemman'],1,[],0
3653813,maycon_reis,2023,2023-09-23,Brazil,[],0,[],0
1533790,JayBee61,2017,2024-06-29,United States,[],0,"['193', '513', '1303', '2122', '3796']",5
2947975,photovideowala,2021,2021-06-02,India,[],0,[],0
1968015,rebelato,2018,2024-01-18,Brazil,[],0,[],0
1854068,SkyCheetah,2018,2024-06-17,Spain,[],0,[],0
3707095,tawan013,2023,2023-11-24,Thailand,[],0,[],0
1463732,kennyraditia116,2017,2023-12-31,Singapore,[],0,[],0
780746,Gistisgrand,2013,2024-06-30,United States,[],0,[],0
3846709,efe55,2024,2024-04-03,Argentina,[],0,[],0
68434,Ben_Tyrer,2005,2024-06-30,United Kingdom,"['Antgrad', 'bazman234', 'boltongeordie', 'Boozler', 'chooi', 'darkskies', 'Grimwold', 'here comes bod', 'Hopalong', 'JinxedSan', 'Jugular', 'Langy', 'McGran', 'Milarky', 'paulyjones25', 'SteveK2', 'Super Secret Santa', 'Sygnar', 'T-Boy67', 'VALIS13', 'whatambush']",21,"['184', '293', '355', '694', '742', '938', '1496']",7
126056,Fenster400,2007,2023-02-05,United States,[],0,[],0
3076689,lochemage2,2021,2021-11-21,United States,[],0,[],0
3557408,Mercurioblack,2023,2023-05-28,Australia,[],0,[],0
3839216,PinkTiger74,2024,2024-06-24,Belgium,[],0,[],0
431189,Pyroptere,2011,2024-06-27,Switzerland,[],0,[],0
3537478,AngelinaAngie,2023,2023-05-05,Belgium,[],0,[],0
3443905,LilacOracle,2023,2023-02-13,United States,[],0,[],0
210766,abrocker,2008,2024-06-30,United States,"['arithon', 'braxxus', 'Butterfly0038', 'calandale', 'captaintobs', 'Chiron70', 'CoffeeRunner', 'cowhollow', 'CrimsonFox', 'DomerHoo', 'doolally', 'dsaxon', 'edparkmike1', 'eluvitar', 'Eric Brosius', 'familygaming', 'fantastico', 'frahminator', 'Ganraeln', 'Hagaf22', 'huber', 'ianoble', 'isellsunshine', 'jalexone', 'jhilke', 'jmcefar', 'kydaria', 'lancemoody', 'LeesusFreak', 'llopis', 'longcreative', 'Malaiser', 'markgeary', 'medchem30', 'MerryHo', 'mfmarkey', 'MidLifeDelta', 'mikepmarkey', 'Morganza', 'MplsMatt', 'offdamark', 'Ownsby', 'PeteVasi', 'phillipwilson', 'rak5632', 'Random_Person', 'rockinghorsedreams', 'SarcophaGuy', 'ScottNotSteve', 'sirgalin', 'Smintie', 'snicholson', 'zefquaavius']",53,"['24', '325', '348', '746', '867', '894', '1011', '1145', '1191', '1303', '1308', '1325', '1338', '1622', '1731', '2014', '2173', '2581', '2888', '3109', '3236', '3431', '3509', '3606', '3770', '4131']",26
98463,hideto,2006,2024-06-28,France,"['NoPunIncluded', 'Quinns', 'ZeeGarcia']",3,['1303'],1
3527015,JohnW09,2023,2023-04-21,Ireland,[],0,[],0
243082,GeneGeek7,2009,2024-06-25,United States,[],0,[],0
607371,haplo92,2012,2024-06-30,France,"['adm1', 'aTomm', 'BertGK', 'DaCoolMan', 'Kristabelle', 'nico97435', 'trundorn']",7,"['24', '477', '1303', '1648', '1999', '2246', '2938', '3323', '4143']",9
3354891,GamingStar2010,2022,2023-06-04,United Kingdom,[],0,[],0
950854,bloodstaindewok,2014,2021-01-04,United States,[],0,[],0
3745378,kaiLange,2023,2023-12-30,Germany,[],0,[],0
2003265,cuccuniglio,2018,2024-06-29,Italy,[],0,[],0
